Film ,Major_Studio,Rotten_Tomatoes,Audience_Score,Genre,Domestic_Gross,Foreign_Gross,Worldwide_Gross,Budget,Profitability,Oscar,Release_time
Unknown,Independent,55,57,Thriller,63.69,67.1,130.79,30,435.95,0,2011
Vanishing on 7th Street,Independent,52,62,Horror,0.02,1.05,1.07,10,10.67,0,2011
Waiting For Forever,Independent,6,53,Romance,0.03,0,0.03,5,0.5,0,2011
War Horse,Disney,77,73,Drama,79.04,88.5,167.54,66,253.85,0,2011
Warrior,Lionsgate,83,93,Action,13.66,9.4,23.06,25,92.23,0,2011
Water For Elephants,20th Century Fox,60,72,Drama,58.71,58.39,117.09,38,308.14,0,2011
We Bought a Zoo,Fox,63,79,Comedy,74.48,26.7,101.18,50,202.36,0,2011
What's Your Number,20th Century Fox,24,50,Comedy,14.01,16.42,30.43,20,152.13,0,2011
Winnie The Pooh,Disney,91,79,Animation,26.69,6.46,33.15,30,110.51,0,2011
X-Men: First Class,Disney,87,88,Action,146.41,207.22,353.62,160,221.01,0,2011
Your Highness,Universal,26,36,Comedy,21.6,3.26,24.86,49.9,49.81,0,2011
Zookeeper,Happy Madison Productions,14,42,Comedy,80.36,89.94,170.3,80,212.88,0,2011
